IMPECT_PlayerID,IMPECT_Name,IMPECT_FirstName,IMPECT_LastName,IMPECT_Team,IMPECT_Competition,IMPECT_Country,IMPECT_Season,Wyscout_Name,Wyscout_Team,Wyscout_Position,Wyscout_Age,Wyscout_File,MatchConfidence,LastNameMatchScore,TeamMatchScore,InitialMatch
126960,Aaron Sky Schwarz,,,FC Admira Wacker Mödling,2. Liga,Austria,25/26,A. Schwarz,Admira,"LWB, LCMF",22.0,Austria II.xlsx,HIGH,100,100.0,True
184607,Aboubacar Camara,Aboubacar,Camara,FC Liefering,2. Liga,Austria,25/26,A. Camara,Liefering,"CF, AMF",19.0,Austria II.xlsx,MEDIUM,100,100.0,True
234217,Adem Mustafic,Adem,Mustafic,SK Austria Klagenfurt,2. Liga,Austria,25/26,A. Mustafic,Austria Klagenfurt,"LCB, RCB, LB",18.0,Austria II.xlsx,HIGH,100,100.0,True
12947,Adnan Kanuric,Adnan,Kanuric,SK Austria Klagenfurt,2. Liga,Austria,25/26,A. Kanurić,Austria Klagenfurt,GK,25.0,Austria II.xlsx,HIGH,100,100.0,True
83288,Adri Castro,Adri,Castro,WSC Hertha Wels,2. Liga,Austria,25/26,Adri Castro,WSPG Wels,"RWF, AMF",27.0,Austria II.xlsx,MEDIUM,100,61.53846153846154,True
208709,Adrian Marinovic,Adrian,Marinovic,SV Kapfenberg,2. Liga,Austria,25/26,A. Marinovic,Kapfenberger SV,"RCMF, RW",21.0,Austria II.xlsx,HIGH,100,92.85714285714286,True
125768,Aidan Liu,Aidan,Liu,SK Austria Klagenfurt,2. Liga,Austria,25/26,A. Liu,Austria Klagenfurt,"LCB, CB",25.0,Austria II.xlsx,HIGH,100,100.0,True
87011,Albin Gashi,Albin,Gashi,WSC Hertha Wels,2. Liga,Austria,25/26,A. Gashi,WSPG Wels,"LWF, LCMF, LW",29.0,Austria II.xlsx,MEDIUM,100,61.53846153846154,True
168707,Aleksa Ilic,Aleksa,Ilic,Young Violets Austria Wien,2. Liga,Austria,25/26,A. Ilić,Austria Wien II,"LCB, LB",21.0,Austria II.xlsx,HIGH,100,88.88888888888889,True
187048,Alexander Murillo,Alexander,Murillo,FC Liefering,2. Liga,Austria,25/26,Alexander Murillo,Liefering,"CF, RWF",19.0,Austria II.xlsx,HIGH,100,100.0,True
7433,Alexander Schmidt,Alexander,Schmidt,FC Admira Wacker Mödling,2. Liga,Austria,25/26,A. Schmidt,Admira,"CF, LWF",28.0,Austria II.xlsx,HIGH,100,100.0,True
121780,Alexander Schwaighofer,Alexander,Schwaighofer,SV Austria Salzburg,2. Liga,Austria,25/26,J. Schwaighofer,Ried U18,"RWF, AMF, RW",24.0,Austria II.xlsx,LOW,100,29.629629629629633,False
280095,Alieu Conateh,Alieu,Conateh,SKU Amstetten,2. Liga,Austria,25/26,A. Conateh,Amstetten,"LWF, LW, CF",19.0,Austria II.xlsx,HIGH,100,100.0,True
78702,Almir Oda,Almir,Oda,SK Austria Klagenfurt,2. Liga,Austria,25/26,A. Oda,Austria Klagenfurt,"LCMF, RCMF",22.0,Austria II.xlsx,HIGH,100,100.0,True
224204,Amar Hadzimuratovic,Amar,Hadzimuratovic,SK Rapid Wien II,2. Liga,Austria,25/26,A. Hadzimuratovic,Rapid Wien II,"RCB, LCB",18.0,Austria II.xlsx,HIGH,100,100.0,True
205710,Amin-Elias Gröller,Amin-Elias,Gröller,SK Rapid Wien II,2. Liga,Austria,25/26,A. Gröller,Rapid Wien,"LCB, RCB",21.0,Austria II.xlsx,HIGH,100,100.0,True
31393,Amir Abdijanovic,Amir,Abdijanovic,First Vienna FC,2. Liga,Austria,25/26,A. Abdijanović,First Vienna,"LAMF, AMF, CF",25.0,Austria II.xlsx,HIGH,100,100.0,True
168624,Andreas Radics,Andreas,Radics,WSC Hertha Wels,2. Liga,Austria,25/26,A. Radics,WSPG Wels,"LCMF, RCMF",25.0,Austria II.xlsx,MEDIUM,100,61.53846153846154,True
114265,Andrija Bosnjak,Andrija,Bosnjak,WSC Hertha Wels,2. Liga,Austria,25/26,A. Bosnjak,WSPG Wels,CF,30.0,Austria II.xlsx,MEDIUM,100,61.53846153846154,True
43940,Anthony Schmid,Anthony,Schmid,Floridsdorfer AC,2. Liga,Austria,25/26,A. Schmid,Floridsdorfer AC,CF,26.0,Austria II.xlsx,HIGH,100,100.0,True
277288,Antonio Popic,Antonio,Popic,SV Kapfenberg,2. Liga,Austria,25/26,A. Popic,Kapfenberger SV,"RCB, RCMF, RB",19.0,Austria II.xlsx,HIGH,100,92.85714285714286,True
113456,Aristot Tambwe-Kasengele,Aristot,Tambwe-Kasengele,FC Admira Wacker Mödling,2. Liga,Austria,25/26,A. Tambwe-Kasengele,Admira,"RCB, CB",21.0,Austria II.xlsx,HIGH,100,100.0,True
44764,Atsushi Zaizen,Atsushi,Zaizen,Schwarz-Weiß Bregenz,2. Liga,Austria,25/26,A. Zaizen,Bregenz,"CF, LWF, LW",26.0,Austria II.xlsx,HIGH,100,100.0,True
217176,Axel Rouquette,Axel,Rouquette,SC Austria Lustenau,2. Liga,Austria,25/26,A. Rouquette,Austria Lustenau,LB,23.0,Austria II.xlsx,HIGH,100,100.0,True
92754,Bamba Susso,Bamba,Susso,First Vienna FC,2. Liga,Austria,25/26,B. Susso,Aluminij,"CF, LCMF",23.0,Austria II.xlsx,LOW,100,17.391304347826093,True
