Player,Team,Position,Age,File
B. Balaj,Vllaznia Shkodër,CF,35.0,Albania.xlsx
G. Selmani,Teuta Durrës,GK,28.0,Albania.xlsx
L. Pöhls,Vllaznia Shkodër,GK,29.0,Albania.xlsx
A. Teqja,Dinamo City,GK,31.0,Albania.xlsx
I. Aleksovski,Flamurtari Vlorë,GK,31.0,Albania.xlsx
A. Marku,Bylis Ballsh,RCB,21.0,Albania.xlsx
F. Përgjoni,Teuta Durrës,LB,28.0,Albania.xlsx
X. Maçolli,Teuta Durrës,"RCMF, RDMF, LCMF",24.0,Albania.xlsx
I. Kasalla,Vora,"AMF, LAMF, CF",23.0,Albania.xlsx
Fernando Medeiros,Egnatia Rrogozhinë,"LDMF, LCMF",30.0,Albania.xlsx
L. Vera,Tirana,"RB, LB",24.0,Albania.xlsx
E. Musta,AF Elbasani,LB,34.0,Albania.xlsx
S. Repaj,Vora,LCB,25.0,Albania.xlsx
A. Toli,Teuta Durrës,RB,28.0,Albania.xlsx
E. Maksuti,Flamurtari Vlorë,"CF, LWF",22.0,Albania.xlsx
P. Qirko,Partizani Tirana,GK,26.0,Albania.xlsx
S. Kallaku,Vllaznia Shkodër,"LCMF, AMF",28.0,Albania.xlsx
E. Gjini,Vllaznia Shkodër,"CB, RCB",23.0,Albania.xlsx
M. Dajsinani,Egnatia Rrogozhinë,GK,27.0,Albania.xlsx
E. Gurishta,Vllaznia Shkodër,"RCB, RB, LCB",31.0,Albania.xlsx
D. Bregu,Dinamo City,"AMF, LW, CF",30.0,Albania.xlsx
J. Vrapi,Vora,LB,27.0,Albania.xlsx
V. Zogos,Teuta Durrës,"RCB, LCB",26.0,Albania.xlsx
S. Tabekou,Tirana,"CF, RAMF, RW",29.0,Albania.xlsx
Andrey Yago,Vllaznia Shkodër,"LWB, LB",28.0,Albania.xlsx
E. Mala,Vllaznia Shkodër,"RCMF, RWB, CF",27.0,Albania.xlsx
A. Ibrahim,AF Elbasani,"RDMF, RCMF",28.0,Albania.xlsx
D. Shehi,Vora,RCB,29.0,Albania.xlsx
A. Krymi,Vllaznia Shkodër,DMF,30.0,Albania.xlsx
M. Boci,Teuta Durrës,"LW, LAMF",22.0,Albania.xlsx
A. Xhemajli,Egnatia Rrogozhinë,LCB,28.0,Albania.xlsx
A. Bytyçi,Partizani Tirana,"LCB, RCB",25.0,Albania.xlsx
A. Aleksi,Egnatia Rrogozhinë,"DMF, RDMF, RCMF",33.0,Albania.xlsx
Rafael Freitas,Tirana,"LCMF, RDMF, RCMF",26.0,Albania.xlsx
B. Lila,AF Elbasani,RB,25.0,Albania.xlsx
D. Atanaskoski,Partizani Tirana,LB,29.0,Albania.xlsx
A. Pergjoni,Bylis Ballsh,"RCMF, RDMF",23.0,Albania.xlsx
L. Trashi,Flamurtari Vlorë,"LB, LWB",33.0,Albania.xlsx
A. Kasa,AF Elbasani,"LCB, LDMF",29.0,Albania.xlsx
Eric Veiga,Flamurtari Vlorë,"LCB, LB",29.0,Albania.xlsx
B. Dita,Dinamo City,"RCB, CB",33.0,Albania.xlsx
I. Manellari,AF Elbasani,"LDMF, LCMF, DMF",28.0,Albania.xlsx
P. Bardhi,Vora,"RAMF, RB, RW",28.0,Albania.xlsx
M. Janáček,AF Elbasani,GK,25.0,Albania.xlsx
O. Adeduro,Bylis Ballsh,"LCMF, LDMF",19.0,Albania.xlsx
M. Barjamaj,Vora,"AMF, RCMF",27.0,Albania.xlsx
F. Perndreca,Bylis Ballsh,"LB, LCB",19.0,Albania.xlsx
André Teixeira,Dinamo City,"LCB, CB, RCB",32.0,Albania.xlsx
Tiago Nani,Dinamo City,"RW, RWB, RAMF",28.0,Albania.xlsx
R. Ismaili,Partizani Tirana,"DMF, RDMF, LDMF",23.0,Albania.xlsx
L. Vila,Dinamo City,"CF, LAMF",27.0,Albania.xlsx
R. Human,Partizani Tirana,"AMF, RCMF",25.0,Albania.xlsx
M. Bajrami,Vllaznia Shkodër,LCB,24.0,Albania.xlsx
S. Olberkis,AF Elbasani,RCB,29.0,Albania.xlsx
K. Loukili,AF Elbasani,"LW, LAMF, AMF",29.0,Albania.xlsx
B. Tsague,AF Elbasani,CF,26.0,Albania.xlsx
L. Squadrone,Flamurtari Vlorë,"RCB, LCB",26.0,Albania.xlsx
M. Ayodeji,Dinamo City,"AMF, RCMF, RW",22.0,Albania.xlsx
F. Neziri,Dinamo City,"LB, LWB",24.0,Albania.xlsx
V. Isgandarli,Partizani Tirana,"LW, LAMF, LWF",30.0,Albania.xlsx
A. Fangaj,Egnatia Rrogozhinë,"RB, RCB",28.0,Albania.xlsx
B. Diawara,Flamurtari Vlorë,"RCMF, DMF",23.0,Albania.xlsx
X. Lajthia,AF Elbasani,"LAMF, RAMF, RB",27.0,Albania.xlsx
D. Chantakias,Flamurtari Vlorë,"CB, RCB",31.0,Albania.xlsx
B. Kotobelli,Teuta Durrës,LCB,33.0,Albania.xlsx
A. Poci,Egnatia Rrogozhinë,"RCB, CB",27.0,Albania.xlsx
H. Zuna,Vora,RB,22.0,Albania.xlsx
R. Haxhiu,Tirana,"RB, RW, LB",27.0,Albania.xlsx
A. Tafa,Tirana,GK,25.0,Albania.xlsx
E. Arifi,Teuta Durrës,"CF, RAMF",19.0,Albania.xlsx
D. Wotlai,Teuta Durrës,"LCMF, RCMF, LDMF",23.0,Albania.xlsx
K. Mouctar,Bylis Ballsh,"LW, LAMF, LWF",21.0,Albania.xlsx
I. Diallo,AF Elbasani,"RAMF, RW, LW",22.0,Albania.xlsx
S. Sembene,Partizani Tirana,"RCB, LCB, CB",24.0,Albania.xlsx
A. Albanese,Egnatia Rrogozhinë,"LAMF, LWF, LW",26.0,Albania.xlsx
Guillem Jaime,Egnatia Rrogozhinë,"RB, RWB, LB",27.0,Albania.xlsx
A. Kryeziu,Egnatia Rrogozhinë,"RDMF, DMF, RCMF",24.0,Albania.xlsx
E. Azemović,AF Elbasani,"RCB, LCB",29.0,Albania.xlsx
K. Lleshi,Tirana,"RCB, LCB",26.0,Albania.xlsx
E. Sota,Egnatia Rrogozhinë,"RCB, RB",28.0,Albania.xlsx
I. Mustapha,Dinamo City,CF,29.0,Albania.xlsx
L. Kastrati,Vllaznia Shkodër,"RWB, RB, RAMF",27.0,Albania.xlsx
S. Guindo,Dinamo City,CF,29.0,Albania.xlsx
N. Burić,Egnatia Rrogozhinë,CF,29.0,Albania.xlsx
V. Murataj,Partizani Tirana,"DMF, RCMF, RDMF",29.0,Albania.xlsx
Luis Felipe,Vora,CF,25.0,Albania.xlsx
F. Ruçi,Egnatia Rrogozhinë,"AMF, RCMF",24.0,Albania.xlsx
A. Peralta,Flamurtari Vlorë,"LB, LW",29.0,Albania.xlsx
R. Harizaj,Vora,GK,27.0,Albania.xlsx
N. Aliji,Dinamo City,LCB,32.0,Albania.xlsx
D. Daka,Vora,"RAMF, RW, RWF",22.0,Albania.xlsx
А. Jazxhi,Teuta Durrës,"RCB, LCB",24.0,Albania.xlsx
C. Aboubacar,Bylis Ballsh,"RB, RW, RWF",24.0,Albania.xlsx
B. Lulaj,AF Elbasani,"LCB, RB",31.0,Albania.xlsx
K. Qefalija,Dinamo City,"RCMF, LCMF, DMF",22.0,Albania.xlsx
K. Qato,Vllaznia Shkodër,"RCMF, AMF",28.0,Albania.xlsx
E. Murataj,Vllaznia Shkodër,"CF, AMF",23.0,Albania.xlsx
K. Selmani,Egnatia Rrogozhinë,"RAMF, RW",26.0,Albania.xlsx
Z. Aliyev,Egnatia Rrogozhinë,"LB, LCB",25.0,Albania.xlsx
T. Todoroski,Flamurtari Vlorë,"RB, RWB",27.0,Albania.xlsx
B. Goudiaby,Dinamo City,"DMF, RCMF, RDMF",24.0,Albania.xlsx
P. Myslovič,Tirana,"LDMF, RCMF",24.0,Albania.xlsx
J. Vachoux,,GK,31.0,Albania.xlsx
K. Dalipi,Vora,"RDMF, DMF, RCMF",25.0,Albania.xlsx
O. Kané,Bylis Ballsh,"RB, DMF",24.0,Albania.xlsx
E. Qardaku,Dinamo City,"LCMF, AMF",25.0,Albania.xlsx
H. Marku,Flamurtari Vlorë,"DMF, LCMF",29.0,Albania.xlsx
S. Ruçi,Vora,GK,33.0,Albania.xlsx
Basilio Ndong,Tirana,LB,27.0,Albania.xlsx
R. Toma,Partizani Tirana,CF,22.0,Albania.xlsx
H. Ramani,Flamurtari Vlorë,LCMF,23.0,Albania.xlsx
M. Ofori,Bylis Ballsh,"DMF, RDMF",21.0,Albania.xlsx
A. Janjeva,Partizani Tirana,"RCB, RB, LCB",23.0,Albania.xlsx
E. Ndreca,Yelimay Semey,LB,31.0,Albania.xlsx
Bruno,Bylis Ballsh,LCB,25.0,Albania.xlsx
E. Fazlagić,Vora,"DMF, LDMF, LCMF",26.0,Albania.xlsx
A. Tafas,Tirana,GK,25.0,Albania.xlsx
E. Vila,Teuta Durrës,"RB, RAMF",38.0,Albania.xlsx
Q. Ismajli,Teuta Durrës,"LCB, LAMF, LCMF",26.0,Albania.xlsx
Walisson,Bylis Ballsh,"CF, RAMF, RW",28.0,Albania.xlsx
D. Fadairo,Partizani Tirana,"RW, RAMF",25.0,Albania.xlsx
Zé Gomes,AF Elbasani,"CF, AMF",27.0,Albania.xlsx
A. Oshafi,Flamurtari Vlorë,CF,26.0,Albania.xlsx
A. Doumbia,Partizani Tirana,"LCMF, LDMF",21.0,Albania.xlsx
G. Valerianos,PAE Chania,"LCB, LB",34.0,Albania.xlsx
S. Bakayoko,Egnatia Rrogozhinë,CF,24.0,Albania.xlsx
C. Núñez,Flamurtari Vlorë,"RCMF, DMF",28.0,Albania.xlsx
D. Halili,Tirana,"RCB, CB, LCB",22.0,Albania.xlsx
Lorran,Dinamo City,"LB, LWB",30.0,Albania.xlsx
S. Vogli,Tirana,"RCMF, CF",18.0,Albania.xlsx
I. Gruda,Egnatia Rrogozhinë,"CF, RAMF, LWF",26.0,Albania.xlsx
L. Beqja,Dinamo City,"RCB, DMF, CB",24.0,Albania.xlsx
K. Qose,AF Elbasani,"AMF, CF, LCMF",30.0,Albania.xlsx
